"country_id","country_name","district_id","district_name","sub_district_id","sub_district_name","city_id","city_name"
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyJwsSC0dlb0Rpc3RyaWN0IhZOb3J0aC1EaXN0cmljdF9fSXNyYWVsDA,North District,bckaqeuwK3WWLhxLp8gJF1csY9k9oRufKKJMJG7N4cm1VSx70p3hAl,West Galilee,agxzfmlsbGlzdHNpdGVyGAsSB0dlb0NpdHkiC0FkaV9fSXNyYWVsDA,Adi
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyJwsSC0dlb0Rpc3RyaWN0IhZOb3J0aC1EaXN0cmljdF9fSXNyYWVsDA,North District,gJ1pavSZtS9c1HmDEiheKIvBBVZ30870DKj0oSaHkspfd5rpyIunpI,East Galilee,agxzfmlsbGlzdHNpdGVyGAsSB0dlb0NpdHkiC0Rhbl9fSXNyYWVsDA,Dan
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyKAsSC0dlb0Rpc3RyaWN0IhdDZW50ZXItRGlzdHJpY3RfX0lzcmFlbAw,Center District,d7v4hHDDoWnCwRNVB4DwNIb0GtSFK1FjoiSqfdkDqAKAnBtruCo2gj,Hasharon,agxzfmlsbGlzdHNpdGVyGAsSB0dlb0NpdHkiC0Rvcl9fSXNyYWVsDA,Dor
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyKAsSC0dlb0Rpc3RyaWN0IhdDZW50ZXItRGlzdHJpY3RfX0lzcmFlbAw,Center District,"6hk9pHEP9MfNePGwvRniKrdRaBj4VbC600rzj7fVVHsJKwvTHBgIRI",Hashfela,agxzfmlsbGlzdHNpdGVyGAsSB0dlb0NpdHkiC0xvZF9fSXNyYWVsDA,Lod
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyKAsSC0dlb0Rpc3RyaWN0IhdDZW50ZXItRGlzdHJpY3RfX0lzcmFlbAw,Center District,d7v4hHDDoWnCwRNVB4DwNIb0GtSFK1FjoiSqfdkDqAKAnBtruCo2gj,Hasharon,agxzfmlsbGlzdHNpdGVyGQsSB0dlb0NpdHkiDE1hb3JfX0lzcmFlbAw,Maor
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyKwsSC0dlb0Rpc3RyaWN0IhpKZXJ1c2FsZW0tRGlzdHJpY3RfX0lzcmFlbAw,Jerusalem District,tDZ48eGbCb5ON4kssoApaMWmaoHreqSw1s9ngB07SXXCDAjQsxdXwv,Jerusalem & Surroundings,agxzfmlsbGlzdHNpdGVyGQsSB0dlb0NpdHkiDE1hdGFfX0lzcmFlbAw,Mata
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyJwsSC0dlb0Rpc3RyaWN0IhZTb3V0aC1EaXN0cmljdF9fSXNyYWVsDA,South District,B3tezTobdpuwjd7dFagy5QnPsXDC4TUVDhc49y2s3qciM6bcMiX7n4,Be'er Sheva & Surroundings,agxzfmlsbGlzdHNpdGVyGQsSB0dlb0NpdHkiDE9tZXJfX0lzcmFlbAw,Omer
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyKAsSC0dlb0Rpc3RyaWN0IhdDZW50ZXItRGlzdHJpY3RfX0lzcmFlbAw,Center District,L5B9GO6tyj6bv1LzE1JLXZAlVr8JEko3iRxYU9DPFaWxlirmGAJedX,Gush Dan,agxzfmlsbGlzdHNpdGVyGQsSB0dlb0NpdHkiDEF6b3JfX0lzcmFlbAw,Azor
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyJwsSC0dlb0Rpc3RyaWN0IhZOb3J0aC1EaXN0cmljdF9fSXNyYWVsDA,North District,bckaqeuwK3WWLhxLp8gJF1csY9k9oRufKKJMJG7N4cm1VSx70p3hAl,West Galilee,agxzfmlsbGlzdHNpdGVyGQsSB0dlb0NpdHkiDEFjcmVfX0lzcmFlbAw,Acre
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyJwsSC0dlb0Rpc3RyaWN0IhZOb3J0aC1EaXN0cmljdF9fSXNyYWVsDA,North District,bckaqeuwK3WWLhxLp8gJF1csY9k9oRufKKJMJG7N4cm1VSx70p3hAl,West Galilee,agxzfmlsbGlzdHNpdGVyGQsSB0dlb0NpdHkiDEFmZWtfX0lzcmFlbAw,Afek
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyJwsSC0dlb0Rpc3RyaWN0IhZOb3J0aC1EaXN0cmljdF9fSXNyYWVsDA,North District,gJ1pavSZtS9c1HmDEiheKIvBBVZ30870DKj0oSaHkspfd5rpyIunpI,East Galilee,agxzfmlsbGlzdHNpdGVyGQsSB0dlb0NpdHkiDEFtaXJfX0lzcmFlbAw,Amir
agxzfmlsbGlzdHNpdGVyFgsSCkdlb0NvdW50cnkiBklzcmFlbAw,Israel,agxzfmlsbGlzdHNpdGVyJwsSC0dlb0Rpc3RyaWN0IhZTb3V0aC1EaXN0cmljdF9fSXNyYWVsDA,South District,B3tezTobdpuwjd7dFagy5QnPsXDC4TUVDhc49y2s3qciM6bcMiX7n4,Be'er Sheva & Surroundings,agxzfmlsbGlzdHNpdGVyGQsSB0dlb0NpdHkiDEFyYWRfX0lzcmFlbAw,Arad
